PLATEIFU,RA,DEC,inc,inc_err,PA,PA_err,PA_bar,PA_bar_err,R_bar,R_bar_err,R_bar_deproj_kpc,R_bar_deproj_kpc_err,redshift,nsa_elpetro_absmag_r,nsa_sersic_absmag_r,bar_type
10492-9101,121.888906322,56.42572994,48.74507843563478,1.5249009545375465,45.0,0.16666666666666666,13.289181872324491,358.6118301791488,4.710262487169356,0.0957150311138606,2.9891145577449416,0.06074039263773284,0.0267986,-20.711409799928717,-20.845309799928714,Strong bar
11016-12703,212.557940634,51.1136212677,52.094193883012295,0.543329547670421,91.89999999999998,0.4666666666666662,63.89174546178296,1.451715162801387,5.007248931976563,0.1364310144087879,5.0408290874381025,0.1373459628636901,0.046122026,-22.189879799928715,-22.690282799928717,Weak bar
8723-12701,126.973889689,55.1586182319,62.94527138200724,1.726488251472201,1.5,0.4499999999999981,37.379908249731386,10.454155385409285,3.9280965213545977,0.1829711128763407,4.063947991029237,0.18929908736910683,0.0388248,-22.176909799928715,-22.644309799928717,Weak bar
10494-9102,124.339174229,55.3405265396,60.08034679958394,0.7775330192599874,156.6,0.8499999999999996,174.36274086684352,12.777660754618909,5.555691725274156,0.1995103148044337,3.7697833132216116,0.13537659984693096,0.0308072,-20.539009799928717,-20.614109799928716,Strong bar
9884-3701,204.120951603,52.420280389,61.60174819934112,0.2916305252799596,164.5,0.7999999999999998,92.35227686826681,22.649074244866735,6.310632908209724,0.00380175025929885,4.428153285245056,0.0026676774176635355,0.0293025,-21.224309799928715,-21.392409799928714,Weak bar
11017-9101,200.971919902,51.4352347109,56.04298661518845,1.061266926267372,168.6,0.5833333333333334,59.364021123557905,13.354269644704662,4.872649382545518,0.5390005843704144,3.3340008637051213,0.3687990398541136,0.025322892,-20.722858799928716,-20.962269799928716,Weak bar
9504-3704,123.371657868,29.0371979669,37.2196141539924,6.034611462905829,168.5,1.4000000000000001,104.63655894807562,68.14805348920179,3.7365279647030385,0.3226964735148612,4.398943575104485,0.3799044439882548,0.0478992,-21.097209799928716,-21.322409799928714,Strong bar
8715-12701,118.359600724,50.2284207566,42.53209131633284,0.5936031206652217,135.5,0.7333333333333334,163.00071285590775,31.594488560276965,10.01189854775479,0.680418210384448,5.3624771275619665,0.36443907945726145,0.0241989,-21.360309799928714,-21.918309799928714,Weak bar
8135-6103,113.057012986,39.5600737596,44.24981172953506,1.5449674437488348,32.0,0.9666666666666686,3.2714896899806263,58.953099946243185,7.650621814811692,0.10262925608730633,8.124872801220844,0.10899109530926511,0.0488063,-21.945609799928715,-22.270009799928715,Strong bar
8337-6102,214.642100658,37.024420277,53.12594853219344,3.050320155908981,159.5,0.5166666666666663,102.68899415329332,187.0713780810335,5.963098622258198,0.3422746474691225,4.84867442927901,0.2783080468901497,0.0327929,-21.368709799928716,-21.627009799928715,Strong bar
9026-12705,251.458488506,43.8664730917,41.040072500136446,0.7533663819648453,146.6,0.6166666666666669,45.0880942622714,83.37521424736599,6.416252165656452,0.3589159455064923,4.994944441995246,0.27941002954139704,0.0338343,-21.735109799928715,-22.124909799928716,Weak bar
8079-12704,41.9370732132,0.414182221714,59.58809688209675,0.3489067427082588,8.199999999999989,0.6500000000000009,30.727159146302824,3.9646466327267995,9.904383657631016,0.5009895918365617,6.629583734936682,0.33534165923118686,0.0278077,-21.579609799928715,-21.704109799928716,Strong bar
8078-12703,42.5702667337,0.0919901487903,46.78296688777687,0.1251319496713421,7.2999999999999545,0.5666666666666677,72.5519974570968,53.43654249090895,7.13999005735498,0.053103175134828526,4.770623994387564,0.03548118126795073,0.0280766,-21.823109799928716,-22.101009799928715,Strong bar
9026-9101,249.318419223,44.4182296144,49.35487455010134,0.243953684397514,65.6,1.4500000000000004,25.88087443198455,30.084906710764773,7.140997704386176,0.0606214847749853,5.083304531793075,0.043153279280769105,0.0314197,-22.069309799928714,-22.324209799928717,Strong bar
